nct_id,enrollment_log,start_year,pre_semaglutide_era,post_semaglutide_era,phase_Unknown,phase_PHASE4,is_obesity,is_t2d,is_weight_loss,exc_count,criteria_total_len,mentions_bmi,mentions_contraindication,mentions_renal_cutoff,high_risk_term_count,risk_ratio,year_x_enrollment,enrollment_log_x_phase_Unknown,label
NCT05362968,3.688879454113936,2023.0,0,1,0,0,0,0,0,0,423,0,0,1,0,0.0,7462.603135672493,0.0,0
NCT01523405,8.499436469826978,2012.0,1,0,0,0,0,0,0,0,1125,0,0,0,1,1.0,17100.866177291882,0.0,0
NCT02537704,5.556828061699537,2015.0,1,0,0,0,1,0,0,0,529,1,0,0,0,0.0,11197.008544324568,0.0,0
NCT03972982,5.802118375377063,2019.0,0,1,0,0,0,1,0,0,2071,1,0,0,2,2.0,11714.47699988629,0.0,0
NCT01130558,4.859812404361672,2009.0,1,0,0,0,0,1,0,0,152,0,0,0,0,0.0,9763.3631203626,0.0,0
NCT00761852,3.4339872044851463,1999.0,1,0,0,0,0,1,0,0,1555,0,0,0,0,0.0,6864.540421765807,0.0,0
NCT02644174,4.110873864173311,2016.0,1,0,0,0,1,0,1,0,358,0,0,0,0,0.0,8287.521710173396,0.0,0
NCT02653300,2.3978952727983707,2018.0,0,1,0,0,0,0,0,0,3407,0,1,0,0,0.0,4838.952660507112,0.0,0
NCT00800683,4.897839799950911,2008.0,1,0,0,0,0,0,0,0,582,0,0,0,0,0.0,9834.86231830143,0.0,0
NCT01910051,4.672828834461906,2013.0,1,0,0,0,0,0,0,0,180,0,0,0,0,0.0,9406.404443771817,0.0,0
NCT02020616,4.110873864173311,2013.0,1,0,0,0,0,1,0,0,4362,1,0,0,4,0.5,8275.189088580875,0.0,0
NCT00241423,3.4339872044851463,2005.0,1,0,0,0,0,1,0,0,684,1,0,0,0,0.0,6885.144344992718,0.0,0
NCT02192905,3.828641396489095,2015.0,1,0,0,0,1,0,1,0,1345,1,0,0,1,1.0,7714.712413925527,0.0,0
NCT04893135,4.110873864173311,2021.0,0,1,0,0,0,0,0,0,2597,1,0,0,3,1.0,8308.076079494262,0.0,0
NCT02294643,5.3981627015177525,2009.0,1,0,0,0,0,0,0,0,345,0,1,0,0,0.0,10844.908867349164,0.0,0
NCT00911625,4.74493212836325,2009.0,1,0,0,0,0,1,0,0,606,0,0,0,1,1.0,9532.568645881767,0.0,0
NCT01759004,3.713572066704308,2012.0,1,0,0,0,1,0,0,0,543,1,0,0,0,0.0,7471.706998209068,0.0,0
NCT03779048,4.997212273764115,2019.0,0,1,0,0,1,0,1,0,4578,1,0,0,4,1.3333333333333333,10089.371580729749,0.0,0
NCT00405418,6.881411303642535,2006.0,1,0,0,0,0,0,0,0,2268,1,0,1,0,0.0,13804.111075106925,0.0,0
NCT05524987,6.974478911025045,2023.0,0,1,0,0,0,0,0,0,1442,0,0,0,0,0.0,14109.370837003666,0.0,0
NCT06827171,3.713572066704308,2025.0,0,1,0,0,0,1,0,0,862,1,1,0,0,0.0,7519.983435076224,0.0,0
NCT06736028,3.044522437723423,2025.0,0,1,0,0,1,0,1,0,906,1,0,0,0,0.0,6165.157936389932,0.0,0
NCT07130838,5.14166355650266,2025.0,0,1,0,0,1,0,0,0,755,0,0,0,0,0.0,10411.868701917889,0.0,0
NCT04665570,7.601402334583733,2020.0,0,1,0,0,0,1,0,0,1762,0,0,0,2,2.0,15354.832715859142,0.0,0
NCT00481975,5.66988092298052,2004.0,1,0,0,0,1,0,1,0,598,1,0,0,0,0.0,11362.44136965296,0.0,0
NCT04660513,3.7612001156935615,2018.0,0,1,0,0,1,0,0,0,1695,1,0,1,0,0.0,7590.101833469609,0.0,0
NCT04021199,6.102558594613569,2018.0,0,1,0,0,0,0,0,0,249,0,0,0,0,0.0,12314.963243930182,0.0,0
NCT04451915,7.606387389772652,2020.0,0,1,0,0,0,0,0,0,850,1,0,1,0,0.0,15364.902527340755,0.0,0
NCT05444842,3.828641396489095,2022.0,0,1,0,0,0,0,0,0,372,0,0,0,2,2.0,7741.51290370095,0.0,0
NCT03333642,3.9318256327243257,2017.0,0,1,0,0,1,0,0,0,1208,1,0,0,2,1.0,7930.492301204965,0.0,0
NCT06459596,4.143134726391533,2022.0,0,1,0,0,0,0,0,0,500,0,0,0,0,0.0,8377.41841676368,0.0,0
NCT02953353,3.6635616461296463,2017.0,0,1,0,0,1,0,0,0,586,1,1,0,0,0.0,7389.403840243496,0.0,0
NCT00697450,5.332718793265369,2008.0,1,0,0,0,0,0,1,0,441,0,0,0,0,0.0,10708.09933687686,0.0,0
NCT02465411,4.61512051684126,2015.0,1,0,0,0,0,0,0,0,988,0,0,0,1,1.0,9299.467841435138,0.0,0
NCT03869281,4.406719247264253,2019.0,0,1,0,0,0,0,0,0,1458,1,0,0,2,2.0,8897.166160226527,0.0,0
NCT03821818,3.044522437723423,2018.0,0,1,0,0,1,0,0,0,616,1,0,0,0,0.0,6143.846279325868,0.0,0
NCT01887067,2.079441541679836,2013.0,1,0,0,0,0,0,0,0,1293,0,0,0,3,1.5,4185.915823401509,0.0,0
NCT00490178,3.4011973816621555,2007.0,1,0,0,0,0,0,0,0,1170,0,0,0,0,0.0,6826.203144995946,0.0,0
NCT06849843,4.0943445622221,2024.0,0,1,0,0,0,0,0,0,4723,1,1,0,7,1.75,8286.95339393753,0.0,0
NCT04597957,5.303304908059076,2018.0,0,1,0,0,0,0,0,0,283,0,0,0,0,0.0,10702.069304463215,0.0,0
NCT02942914,4.394449154672439,2016.0,1,0,0,0,0,0,0,0,2563,1,0,0,4,0.8,8859.209495819638,0.0,0
NCT05609279,4.110873864173311,2021.0,0,1,0,0,0,0,0,0,1477,0,0,0,0,0.0,8308.076079494262,0.0,0
NCT01027143,4.969813299576001,2010.0,1,0,0,0,1,0,0,0,373,1,0,0,1,1.0,9989.32473214776,0.0,0
NCT01298518,3.8918202981106265,2011.0,1,0,0,0,0,1,0,0,697,1,0,0,0,0.0,7826.45061950047,0.0,0
NCT00210808,6.0112671744041615,2003.0,1,0,0,0,1,0,0,0,864,1,0,0,0,0.0,12040.568150331535,0.0,0
NCT02999867,5.198497031265826,2017.0,0,1,0,0,0,0,0,0,375,0,0,0,1,1.0,10485.36851206317,0.0,0
NCT00580710,5.10594547390058,2001.0,1,0,0,0,0,0,0,0,820,1,0,0,0,0.0,10216.996893275062,0.0,0
NCT00701090,6.943122422819428,2008.0,1,0,0,0,0,1,0,0,331,0,0,0,0,0.0,13941.789825021411,0.0,0
